Prefix	Stem	Tone	POS	Class	Gloss
	bobola	HHL	v		howl as of an animal
	bodzeka	LLL	v		cause something to rot
	boka	LL	v		praise in song; to give thanks
lu	boko	HH	n	11	arm
	bokolela	HHHL	v		cry out loud; wail
	bola	LL	v		rot or go bad, as of food
lu	bolela	LLH	n	11	bee or wasp sting
lu	bomba	LL	n	11	cream from fresh milk
	bomba	LL	v		snarl, as an angry dog; roar, as a bull
	bonya	LL	v		blink, as of an eye
	bonyolola	HHHL	v		reveal; to tell of something private
	bora	HL	v		bore; drill
	buba	LL	v		lie down, as of a bird, a hare ready to run or fly away
chi	bubi	LL	n	7	spider
chi	budzana	HLH	n	7	kid goat
	budzulula	HLHL	v		speak scornfully; be spiteful; tell someone off
	bukula	HHL	v		 bark, as of a dog
	bula	LL	n	5	intestine
m	bulayi	HHL	n	1	killer; murderer
	buli	HH	n	5	hole
	bulula	HHL	v		livestock going out to pasture
chi	bululu	HHH	n	7	small brown lizard
m	bumbi	HH	n	1	creator;  builder;  maker; a moulder
	bumbika	HHL	v		be well-formed or well-shaped
chi	bumbiko	HHL	n	7	features
	bumbulu	HHH	n	5	egg
	bumbuluka	HHHL	v		roll on the ground or a flat surface
	bundo	HH	n	5	pleat
m	bungu	LH	n	3	part of a stalk turned reddish brown because of a stalk borer
	bunguka	LLL	v		turn reddish of a stalk of a sweet reed as a result of a stalk borer
m	buso	HL	n	3	government; reign
	butha	HH	v		repose; rest, as of animals
	buthaka	LLH	adj.		of same age
	butili	HHL	n	5	bottle
	butuka	LLH	adj.		better; improved
	butyarara	LLLL	adj.		acidic; sour
lu	buwa	HL	n	11	enclosed place in which crops are harvested before being threshed and stored away
	buwa	HL	v		smear much
	buwe	LL	n	5	gad-fly
	buya	HL	v		return; come back
bu	buya	LL	n	14	beauty; handsomeness
	buya-moyo	HHHL	v		feel nausea
	buyilila	HHHL	v		repeat; return again
m	buyu	HH	n	3	baobab tree
	buza	HL	v		return something; bring back
	buzilidza	HLHL	v		revenge
chi	bza	L	n	7	thigh
	bza	L	v		belch
	bzala	HL	v		sow; plant
chi	bzalo	HL	n	7	seed or plant
	cha	H	v		fear; have fear
i	chaba	LL	n	7	nation; tribe
	chachama	LLL	v		hiss or sizzle of something cooking; a painful ache as from a burn
	chaini	HHL	n	9	chain
	chaisa	LLL	v		knock off from work; knock something, as with a car
ma	chakanyugwa	HHLH	n	6	small bits and pieces of wood; small crumbs of bread
	chakanyula	HHHL	v		chop or make something into small bits and pieces
	chamba	LH	n	7	lover; paramour
	chanana	LHH	n	7	kid
	changu	HL	pron.		mine (cl.7)
bu	chapa	LH	n	14	carelessness; clumsiness; uncleanliness
	chapa	LH	n	5	careless person
	chebuka	HHL	v		look sideways; look behind; look over your shoulder
bu	chechana	LLH	n	14	youth
n	chechana	HLH	n	1	young one
n	checheni	HHH	n	3	type of tree
	chedza	LH	n	7	light
	chefi	HL	n	9	poison
	cheka	HL	v		cut
	chekeledza	HHHL	v		go by a short route; take a short cut
	chekelela	HHHL	v		cut into small pieces, as of meat in preparation for stewing
	chekesa	HHL	v		cause to cut up
n	cheko	HL	n	3	sewing pattern
	chela	HL	v		draw or fetch water or any other liquid
	cHela	HL	n	9	space underneath the granary and usually fowls sleep there
	chela	LL	v		pluck off, as of a fruit or greens
	chelelela	HHHL	v		draw water for someone
	chema	HL	v		scream
	chemba	HL	n	9	chamber pots
	chemela	HHL	v		rebuke; reprove; scold; chide
n	chemo	HL	n	3	loud scream or cry
	chena	LL	adj.		white
	chenama	HHL	v		wonder; be surprised; be amazed at
	chenchi	LH	n	9	change (from money)
ma	chende	LL	n	6	testicles 
	chenesa	LLL	v		make clean
	chenesela	LLLL	v		clarify for
	cheneso	LLL	n	9	enlightenment; explanation
	chengedza	HHL	v		deceive
	chengela	HHL	v		cheat; deceive by promising and not performing
	chengeta	LLL	v		take care; take heed
n	chenje	LL	n	3	white ant; nest of white ants
bu	chenjedhu	HHH	n	14	wisdom; cleverness
	chenjelela-ntome	HHHHLH	v		deceitfulness; slyness; be cunning; cheat
	chila	HL	v		live; survive
n	chili	LL	n	3	rein; rope; shoe lace 
i	chili	HL	n	7	living person; well-off person
	chilianya	HLHL	v		lay across the other
	cHilila	LHL	n	9/10	spicies of wild animal
bu	chilo	HL	n	14	life
	chimuka	LLL	adv.		the following day
	chinga	HH	v		receive with both hands showing appreciation
	chinga	HL	adv.		since; eversince
	chingama	HHL	v		lie across; slant
	chingamidza	HHHL	v		run across to meet someone; put by the fire
	chingamila	HHHL	v		bask, as  in the sun or by the fire
	chingamisa	HHHL	v		cause to lie across
	chini	LH	adv.		how
	chinya	HL	v		spoil; destroy
	chinya-buso	HHHH	v		show displeasure facially
	chinya-ntumbu	HHHL	v		abort illegally, as when pregnant
	chinya-zina	HHLL	v		defamation of character
i	chinyi	HL	n	7	mischievous person; a spendthrift; someone who wastes
	chinyidzila	HHHL	v		spoil for someone; destroy something belonging to someone
	chinyika	HHL	v		become spoiled; be destroyed
	chinyikigwa	HHHL	v		have a miscarriage
	cHinyikilo	LHHL	n	10	costs; expenses; damages; losses sustained
	chinyolocho	LHHL	adv.		soon; quickly; rapidly
	chipa	LL	v		cheap
	chisa	HL	v		frighten; cause to be afraid
	chiwa	HL	v		be feared
	cholopo	HHH	n	9	fly, as of trousers
	chona	HH	v		be penniless; be without money
	chova	LL	v		to pedal, as a bike
	chubhu	HL	n	9	tube
	chuludza	HHL	v		cause to jump; cause to cross; skip, as with a monthly event
	chuluka	HHL	v		jump up or over
	chuluka-chuluka	HHHLLL	v		hop about
	chulukila	HHHL	v		jump onto
i	chuu	HL	n	7	stew; well cooked food
	da	H	v		love; like
	dabga	LH	n	5	type of bird
	dabi	LH	n	5	branch, as of a tree
	dabila	LHL	v		to answer or to reply
	dada	LL	n	5	duck; mock someone
	daisi	LHL	n	5	dice
lu	daka	LL	n	11	wet cow dung in the kraal
	daka	LL	v		intoxicate; make drunk
chi 	dakwa	LH	n	7	drunkard
	dala	HL	n	5	receptable for unthreshed corn made of poles
	dama	HL	n	5	word; cheek
	damba	LH	n	5	large sour monkey plum
	dana	HL	v		call; draw attention to; love each other; like each other
	danda	HL	n	5	log; block of wood
lu	dandi	LH	n	11	spider web
	danga	LH	n	5	kraal; sheep fold; pen
	dani	LL	n	5	slippery liquid, as from okra
	datHa	LH	n	5	 large anthill
	debge	LL	n	5	kaross; leather blanket
	deelela	HLHL	v		not to respect someone; look down upon
	deenya	HLH	n	5	skull
	delele	LLL	n	5	okra
	deluka	LLL	v		descend from a height; come down
bu	delukilo	LLLL	n	14	platform; station
	delusa	LLL	v		cause to come down or descend; let down
	demegwa	LHH	n	5	part of a field where the trees are still being cleared
	dendeli	LLL	n	5	type of temporary door made from sticks from trees
	denga	HL	n	5	overhead covering
	dengezela	LHHL	v		to carry something on the head without holding it
	denje	LL	n	5	small bush
	deri	HL	n	9	dairy
	dhubika	LLL	v		dip in water; immerse in a liquid
	dhubula	LLL	v		take something out of liquid, which was soaked or immersed
	dhukudza	LLL	v		shake some clothing or garment with the intention to remove dust 
	dhuma	LL	v		agree
	dhumano	LLL	n	9	mutual agreement; agreement
n	dhumbi	LH	n	3	drizzle; rain gently; rain in gentle showers
n	dhumila	LHL	n	3	type of tree
	dhumila	LLL	v		to believe, as in God
	dhumilana	LLLL	v		agree with each other
	dhumilani	LHHL	n	9	conventional way of greeting
	dhumilano	LLLL	n	9	agreement
n	dhumili	LLL	n	1	believer; a christian
	dhumiligwa	LLLL	v		be admitted, as in a school
	dhumilila	LLLL	v		allow; permit
	dibhi	HL	n	9	dip, type of pesticide
	didima	LLL	v		rumble, as of lightning or as of an earthquake
	diika	LHL	v		be educated
	diila	LHL	v		educate for/at
n	diiwa	LHH	n	1	pupil; student
	dila	LL	v		pour
	dilidzila	LLLL	v		to water, as of plants or a garden
	dindi	LL	n	5	thick beef steak without bones
	dindingwe	LLL	n	5	leopard
	diraya	LHH	v		wind up, as a bucket from a well
	dishwa	LH	n	5	standing grass
	ditima	LLL	n	5	pumpkin
n	diwa	HL	n	1	loved one; beloved one
	diya	HH	v		teach; preach
n	diyi	HH	n	1	teacher; priest
lu	do	H	n	11	love
	dobi	LH	n	5	relish made from shredded meat and ground peanuts
	dodola	LLL	v		to walk on your toes
	dohona	HHL	v		pound meat or peanuts in a mortar; pound into a paste
	dole	LL	n	5	meat from an emancipated animal; lean meat
	dolo	LH	n	5	corn or sorghum measured in terms of threshing loads
	dombo	LH	n	5	mountain; hill
	dongo	LL	n	5	ruin; deserted house or home
	donkana	LHL	n	7	foal of a donkey; grey/black low quality blanket 
	donki	LH	n	7/6	donkey
	dope	LL	n	5	muddy water; mud
	dororo	LLL	n	5	fowl excrete or rubbish
	dotHa	LL	v		drip, as  liquid; a slight drizzle of rain
	dotHedza	LLL	v		pour a small drop onto
	dotHi	LH	n	5	drop of some liquid; a drop of rain
	dotomosi	LHHL	n	5	type of reptile found on the rocks
lu	dozo	HL	n	11	walking stick used by the old people
	dozo	LL	n	6	leg of a chicken
	dubula	LHL	v		remove dirt from one's body by either rubbing by hand or using a soft stone when taking a bath
	dukuta	LLL	n	5	perspiration; sweat
	dula	HL	n	5	granary
	dumba	HL	n	5	drum
	dumba	LL	n	5	shack
	dumbu	LH	adv.		truly; surely
	dumula	LHL	v		 shoot
	dundila-bazwele	LLLLHL	n	5	large black and yellow beetles; blister beetles
	duni	LH	n	5	mortar; stamping block
	dusa	LL	v		to take out; remove
	duthu	HL	n	5	low hill; heap
	dutshi	HL	n	5	huge shadow, as when a dark cloud is in the path of the sun; ill luck
	dutu	HL	n	5	a whirlwind; a cyclone
	dwa	L	v		to say; come from
	dwa-moyo	LLL	v		to envy; desire
chi	dwi	H	n	7	knee
	dwilidzila	LLLL	v		to catch water that is slowly seeping through in a well until you fill your bucket
	dwilila	LLL	v		water seeping through in a well or a spring; proceed; advance; go forth
	dwilila-mbeli	LLLLH	v		go forward; advance; make progress
bu	dwilo	LL	n	14	beginning or origins of something
	dzamula	LLL	v		snatch from someone
	dzata	LL	v		jump down or off; dismount
	dzete	LH	n	5	big hole on the ground, normally used by big animals; an antbear hole
lu	dzi	L	n	11	descents; relations
nju	dzi	L	n	10	nations; relations
n	dzi	L	n	3	root
mi	dzi	L	n	4	roots
	dziba	LL	v		prevent a person from doing something; to go and return the livestock
	dziba	LL	n	5	deep pool of water in a river bed
n	dzibi	LL	n	1	watchman; one who watches over livestock
	dzibila	LLL	v		prevent someone from doing something; restrain
	dzidzimuka	LLLL	v		shudder, either from the cold or from seeing something unpleasant
	dziidza	LLL	v		cause to suffer; trouble
	dziila	LLL	v		suffer; be poor; be without anything
n	dziili	LLL	n	1	sufferer; a poor person
	dziisa	LHL	v		warm something up
	dzikila	LLL	v		put into ground, as when transplanting small plants
	dzikunuka	LLLL	v		become uprooted
	dzikunula	LLLL	v		uproot something
	dzila	HH	v		smear the floor with mud mixed with cow dung and water
bu	dzilo	HL	n	14	 floor newly smeared with mud plus dung, smelling very fresh
	dzilunula	LHHL	v		re-do the smearing of the floor with mud mixed with dung
	dzima	HH	v		extinguish; go out, as a fire or some light
	dzimidza	LHL	v		remove all traces of something; cause to get lost
	dzimila	LHL	v		go astray; wander; get lost
ba	dzimu	HL	n	2	spirits; ancestors long dead, believed to influence and control events.
ku	dzimu	HL	n	17	heaven
N	dzimu	HL	n	1	God
	dzimula	LHL	v		allay, as with something hot by pouring cold liquid into it; dilute or reduce heat, beer etc.
mi	dzing'wana	LHH	n	2	troubled ancestoral spirits making a child sick
	dziya	HL	v		be warm; warm oneself
	dzondola	LLL	v		look askance at; make a sneering look
ma	dzonge	LH	n	6	sediments of standing water
	dzu	L	n	5	eagle 
	dzudzu	LH	n	5	a turncoat; a cheat; one who never tells the truth
	dzuka	LL	v		develop a rash
	dzula	LL	v		 rape
	dzulula	LHL	v		smear mud on the wall
	dzungu	HL	n	9	dizziness; vertigo
	dzungudza	LHL	v		rinse out something
n	dzwa	H	n	3	strap
	dzwa	L	v		belch
chi	dzwa	L	n	7	thigh
	dzwala	HL	v		plant
	edza	LL	v		imitate
	edzisa	HHL	v		spending the evening doing something
ma	edziso	HHL	n	6	evening time games or conversations; social functions in the evening before retiring to bed
	ee	LL	adv.		yes
	emeri	HHL	n	5	bucket
	emugwa	LLL	v		be desired
	emula	LLL	v		desire; want
	enda	LL	v		go; go away
ma	enda-mbeli	LLLH	n	6	first fruits; corn that ripens before the rest of the harvest; poor quality of sorghum      
bu	endasi	LLH	n	14	frustration; sadness and boredom
	endisa	LLL	v		hasten; cause to walk
gu	endo	LL	n	11	journey; a pilgrimage
nj	endo	LL	n	10	journeys; travels; pilgrimages
chi	enga	HL	n	7	piece of broken clay pot, commonly used for grounding tobacco
	engemala	LLLL	adj.		still, as of water; Holy
ba	engi	LL	n	2	nurses
 ng'w	eni	LH	n	1	owner; master
b	eni	LH	n	2	owners
m	eno	LH	n	6	teeth
	erebhu	LHL	n	10	pods that grow  on a tree, favourite food for goats
m	esho	LH	n	6	eyes
	ezedza	LLL	v		put to sleep, as a child
	ezela	LLL	v		sleep; go to bed
ng'w	ezi	LH	n	1	visitor or guest
b	ezi	LH	n	2	visitors; guests
bu	fa	H	n	14	inheritance
	fa	H	v		die
zwi	fafa	HL	n	8	epilepsy; epileptic fits
chi	fani	LH	n	7	surname
	fanila	HHL	v. aux.		ought; must; need to; look very nice on someone, as of some garment
	fanilo	HHL	n	9	obligation; duty; right; a requirement
i	fano	HL	n	7	physical likeness; resemblances, particularly of individuals
	fantisi	LHL	n	9	garage sale; sell by auction
	feidza	HHL	v		cause to fail
	feila	HHL	v		fail
	fele	LL	n	5	cockroach
	fema	LL	v		breathe
	femeleka	LLLL	v		breath heavily because of over-exertion
	fepHa	HH	v		blow the nose
	fesitere	HHLL	n	5	window
n	fi	H	n	1	dead person
	fidza	HL	v		finish
	fiko	HL	n	5	small tree branch put in a bucket full of water so it does not spill while carrying it
	fila	HL	v		get to the end; die at
	fivara	HLH	n	9	a fever
	fojo	HL	n	9	tobacco
	foro	HL	n	9	furrow in a ploughed field
	foroko	HHH	n	9	fork
	foromu	LLL	n	9	mould, used for moulding bricks
	fosholo	HHL	n	9	spade
	founi	HHL	n	9	telephone
nji	fu	H	n	10	deaths
lu	fu	H	n	11	death
i	fuba	HH	n	7	chest; breast as of chicken; a cough; sputum; phlegm
	fuba	HH	v		become dwarfed as a person, animal or plant
	fuka	HL	v		wear, as a blanket
	fukula	LLL	n	9/10	bitch
	fula	LL	v		graze, as of animals
	fula	HH	v		blow something off by breath, as of dust or small particles of something
	fulawa	LHL	n	9	bread flour
	fulele	HHH	n	9	mist; fog
	fulemachini	LHHHL	n	9	flying machines; aeroplanes
	fuleni	HHL	n	9	flannel
	fulo	HH	n	5	foam; froth; scum on water
	fuluka	HHL	v		remove one's abode; depart; migrate; move house
	fuma	HH	v		be rich
	fumbatila	HHHL	v		make a fist; clasp, as of a fist
n	fumi	HH	n	1	a rich person
	fumika	HHL	v		cover up something
	fumula	HHL	v		uncover, as of a lid
	funda	HH	v		sip or eat something and keep in mouth
	fung'wa	HL	n	9	riches
	funya	HH	v		sit crosslegged
	funye	HL	n	7	go-away birds
	fupa	HH	n	5	bone; jealousy
	fupatila	HHHL	v		turn one's back upon
	fupi	HH	adj.		short
	fupi-fupi	HHLL	adj.		very short
	furisilaxa	HHLLL	n	9	thin rope at the end of a whip used when cracking the whip
ma	futa	HH	n	6	oil; body creams of all types
	futa	HH	n	5	piece of fat
	gaberi	LLH	n	7a	turtle
	gabha	LH	n	5	bucket; tin
	gabi	LH	n	5	lash; euphemism for a snake at night
	gabuka	LLL	v		has had a large opening
	gabula	LLL	v		make a large opening; rip open
ma	gada	LH	n	6	sediments or dregs of traditional beer
	gagadzahamba	LLLHL	n	5	crab
ma	gai	LH	n	6	eggs or nits of fleas or lice
	gaisa	LHL	v		grind, as of corn
n	gaiso	LHL	n	3	grinding mills; mills; ground corn
	gakhwa	HL	n	5	pool of water (not manmade)
	gala	LL	v		sit down; dwell; live
	gala-bge	LLL	v		trust; believe in
	gala-bheya	LLHL	v		sit indecently exposing some private part of the body
	gala-moyo	LLLL	v		be satisfied
n	gali	LL	n	1	dweller; inhabitant of
	gali-dema	LHLH	n	5	gathering by family and relatives after a bereavement when food is prepared the dead person's belongings are distributed among the children
	galidza	LLL	v		sit on someone's place or seat
	galila	LLL	v		to wait for; stay or live for
zwi	galila-migoti	LLLLHL	n	8	the first small breasts that a young girls grows
	gama	LL	v		catch in the hand, as of a ball
	gamu	HL	n	5	relative
	ganda	HL	n	5	skin, as of a human being or an animal; peel, as of a fruit
	gandana	LHH	n	5	strip of a tattered garment; a tattered garment
	gando	LL	n	5	lean animal; an emanciated animal; meat from a very lean animal
	gangari	LHL	n	5	sweet wild bulb 
	gangwa	LL	n	5	peel of a watermelon
	ganyu	LH	n	5	membrane
	garaji	LHL	n	9	garage
	gaswa	LH	n	5	half; remainder
	gat'e	LH	n	5	bitter wild melon
	gavu	LH	n	5	species of gourd eaten when tender
bu	gebeng'a	LHL	n	14	gangstership
	geidi	LHL	n	9	gate
	gele	LL	v		be seated
	gesi	HL	n	9	gas
	geyara	LHH	n	9	gear
n	gibelo	LHL	n	3	Saturday
